ElemID,PointID,x,y,sigma_x,sigma_y,tau_xy,VonMises
7.000000000000000000e+00,2.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,-4.462827748408670203e+01,4.114350826537665284e+02,-5.841160297099783929e+04,1.011728012712600466e+05
7.000000000000000000e+00,3.000000000000000000e+00,2.770632938682637270e-01,1.562499999999999827e-02,7.136284565761266094e+03,5.236433464331650612e+04,-6.843127876305374957e+04,1.283268601905681280e+05
7.000000000000000000e+00,4.000000000000000000e+00,2.458132938682636992e-01,1.562499999999999827e-02,6.241946029786933650e+03,4.859584696218009776e+04,-5.571831791675559361e+04,1.068212452306123887e+05
8.000000000000000000e+00,0.000000000000000000e+00,2.791566469341318912e-01,7.812499999999999133e-03,4.242763799411331092e+03,2.869181196740345695e+04,-7.028782784824186820e+04,1.246620422115243273e+05
8.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e-01,0.000000000000000000e+00,-2.355257306640738477e+02,-1.164539049777333958e+03,-5.826215351403297973e+04,1.009186451600293221e+05
8.000000000000000000e+00,2.000000000000000000e+00,2.812500000000000000e-01,0.000000000000000000e+00,-1.530892604625725824e+02,-2.244234138828409186e+02,-7.146950151407878730e+04,1.237889671391947486e+05
8.000000000000000000e+00,3.000000000000000000e+00,3.083132938682637270e-01,1.562499999999999827e-02,8.856290555121060606e+03,5.876230457939176995e+04,-8.205704193711515109e+04,1.523518975045691477e+05
8.000000000000000000e+00,4.000000000000000000e+00,2.770632938682637270e-01,1.562499999999999827e-02,7.461031850181055233e+03,5.391941314231567230e+04,-6.866051469213557721e+04,1.292419223179930414e+05
9.000000000000000000e+00,0.000000000000000000e+00,3.104066469341318912e-01,7.812499999999999133e-03,5.153421144548421580e+03,3.183049907493607679e+04,-8.380032690188261040e+04,1.481323287485397304e+05
9.000000000000000000e+00,1.000000000000000000e+00,2.812500000000000000e-01,0.000000000000000000e+00,-2.628010170955319609e+02,-9.688595899660097075e+02,-7.138719238112749008e+04,1.236492897034767084e+05
9.000000000000000000e+00,2.000000000000000000e+00,3.125000000000000000e-01,0.000000000000000000e+00,-2.680033050316787353e+02,-8.999269118981701467e+02,-8.492392197447987564e+04,1.470947248592356336e+05
9.000000000000000000e+00,3.000000000000000000e+00,3.395632938682637270e-01,1.562499999999999827e-02,1.075154544726586391e+04,6.497328635408556147e+04,-9.579070498677321302e+04,1.765393381477610092e+05
9.000000000000000000e+00,4.000000000000000000e+00,3.083132938682637270e-01,1.562499999999999827e-02,8.825655121995398076e+03,5.899320201065785659e+04,-8.204380153534263081e+04,1.524171661179490911e+05
1.000000000000000000e+01,0.000000000000000000e+00,3.416566469341318912e-01,7.812499999999999133e-03,6.153200630327370163e+03,3.486694152073470468e+04,-9.738705175708439492e+04,1.717315805327474663e+05
1.000000000000000000e+01,1.000000000000000000e+00,3.125000000000000000e-01,0.000000000000000000e+00,-2.900194632737827760e+02,-7.560225015387997018e+02,-8.491391756325286406e+04,1.470767031446126057e+05
1.000000000000000000e+01,2.000000000000000000e+00,3.437500000000000000e-01,0.000000000000000000e+00,-3.878259436848661039e+02,-1.608149907797786909e+03,-9.842446566365599574e+04,1.704823720985884138e+05
1.000000000000000000e+01,3.000000000000000000e+00,3.708132938682637270e-01,1.562499999999999827e-02,1.282609723085365295e+04,7.096987329821882304e+04,-1.092613112304070382e+05,2.002624967040005722e+05
1.000000000000000000e+01,4.000000000000000000e+00,3.395632938682637270e-01,1.562499999999999827e-02,1.034737564155148175e+04,6.380481500784676609e+04,-9.552243571786089160e+04,1.757598287113572005e+05
1.100000000000000000e+01,0.000000000000000000e+00,3.729066469341318912e-01,7.812499999999999133e-03,7.241990243493394701e+03,3.778493019207679026e+04,-1.106768439356243616e+05,1.948194051606680150e+05
1.100000000000000000e+01,1.000000000000000000e+00,3.437500000000000000e-01,0.000000000000000000e+00,-3.156491377156914950e+02,-5.259475451235285846e+02,-9.849177085138730763e+04,1.705933674462047347e+05
1.100000000000000000e+01,2.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00,-5.103985798454594942e+02,-2.333676612353092878e+03,-1.115991877472303895e+05,1.933071430794457847e+05
1.100000000000000000e+01,3.000000000000000000e+00,4.020632938682637270e-01,1.562499999999999827e-02,1.507757981260687666e+04,7.671625318167578371e+04,-1.220815562024040701e+05,2.228626047127957863e+05
1.100000000000000000e+01,4.000000000000000000e+00,3.708132938682637270e-01,1.562499999999999827e-02,1.203612760967829308e+04,6.834875417994281452e+04,-1.087294761722804978e+05,1.986455718223034637e+05
1.200000000000000000e+01,0.000000000000000000e+00,4.041566469341318912e-01,7.812499999999999133e-03,8.418014966996368457e+03,4.056958054207963869e+04,-1.232848005496641126e+05,2.167317804219036479e+05
1.200000000000000000e+01,1.000000000000000000e+00,3.750000000000000000e-01,0.000000000000000000e+00,-3.414338746624036958e+02,-2.898286032152058738e+02,-1.117458767966471059e+05,1.935497986657731526e+05
1.200000000000000000e+01,2.000000000000000000e+00,4.062500000000000000e-01,0.000000000000000000e+00,-6.324774486839640986e+02,-3.066347008457812080e+03,-1.240658295114228094e+05,2.149066152388962219e+05
1.200000000000000000e+01,3.000000000000000000e+00,4.333132938682637270e-01,1.562499999999999827e-02,1.750269541432378901e+04,8.219238041187950876e+04,-1.338580861201603839e+05,2.436745887532533961e+05
1.200000000000000000e+01,4.000000000000000000e+00,4.020632938682637270e-01,1.562499999999999827e-02,1.389544560958344118e+04,7.261601681003115664e+04,-1.212817515454082168e+05,2.204198883219062409e+05
1.300000000000000000e+01,0.000000000000000000e+00,4.354066469341318912e-01,7.812499999999999133e-03,9.680588912867462568e+03,4.321249850215785409e+04,-1.348187568218258093e+05,2.367931649510801653e+05
1.300000000000000000e+01,1.000000000000000000e+00,4.062500000000000000e-01,0.000000000000000000e+00,-3.658572561560446843e+02,-4.224758673768096173e+01,-1.242928357457781385e+05,2.152817856507727411e+05
