x,y,w,theta_x,theta_y
8.537658773652742616e-02,3.124999999999999653e-02,-4.508822827255283351e-09,-2.445904622725911986e-09,-3.709309458048306593e-09
1.166265877365274262e-01,3.124999999999999653e-02,-1.559118792338025253e-08,-7.560704730570606079e-09,-7.560704730570579609e-09
1.478765877365274262e-01,3.124999999999999653e-02,-3.546505443680616011e-08,-1.580227800358879002e-08,-1.248189396508570706e-08
1.791265877365274262e-01,3.124999999999999653e-02,-6.614514411935011263e-08,-2.758846687760683137e-08,-1.834655253978403910e-08
2.103765877365274262e-01,3.124999999999999653e-02,-1.093988141258792068e-07,-4.325168416935273764e-08,-2.502930535459993076e-08
2.416265877365274262e-01,3.124999999999999653e-02,-1.667101662655575959e-07,-6.303639006767447292e-08,-3.237597584337602826e-08
2.728765877365273984e-01,3.124999999999999653e-02,-2.392371282467112379e-07,-8.708490371855006060e-08,-4.021303260157641232e-08
3.041265877365273984e-01,3.124999999999999653e-02,-3.277709478853150483e-07,-1.154319194877533694e-07,-4.834796999371622743e-08
3.353765877365273984e-01,3.124999999999999653e-02,-4.327013514729445856e-07,-1.479979542323379260e-07,-5.657244290225929744e-08
3.666265877365273984e-01,3.124999999999999653e-02,-5.539878984800808553e-07,-1.845845465916429075e-07,-6.466506285798112960e-08
3.978765877365273984e-01,3.124999999999999653e-02,-6.911368623178774154e-07,-2.248712745510556708e-07,-7.239460594680588842e-08
4.291265877365273984e-01,3.124999999999999653e-02,-8.431857776797478600e-07,-2.684152614382528672e-07,-7.952432346571426373e-08
4.603765877365273984e-01,3.124999999999999653e-02,-1.008695926877839130e-06,-3.146519213609823162e-07,-8.581467305465052221e-08
4.916265877365273984e-01,3.124999999999999653e-02,-1.185746384039236100e-06,-3.628948940251547682e-07,-9.102409698569282223e-08
5.228765877365274539e-01,3.124999999999999653e-02,-1.371939327481072768e-06,-4.123447326881820408e-07,-9.491891066341713749e-08
5.541265877365274539e-01,3.124999999999999653e-02,-1.564421307069346487e-06,-4.620977216935214407e-07,-9.727671540809081578e-08
5.853765877365274539e-01,3.124999999999999653e-02,-1.759908037044033339e-06,-5.111553553159740116e-07,-9.788881897978298036e-08
6.166265877365274539e-01,3.124999999999999653e-02,-1.954705570369503918e-06,-5.584262657054417639e-07,-9.655737509866581833e-08
6.478765877365274539e-01,3.124999999999999653e-02,-2.144734031606632582e-06,-6.027288185010116222e-07,-9.308889358703633259e-08
6.791265877365274539e-01,3.124999999999999653e-02,-2.325567605917111721e-06,-6.428329206096079155e-07,-8.732610290346344356e-08
7.103765877365274539e-01,3.124999999999999653e-02,-2.492445569298545314e-06,-6.774181931635895875e-07,-7.912183497428505485e-08
7.416265877365274539e-01,3.124999999999999653e-02,-2.640203355641743645e-06,-7.049268953106241998e-07,-6.817697441276771878e-08
7.728765877365274539e-01,3.124999999999999653e-02,-2.763289062850746977e-06,-7.239351542950284641e-07,-5.435270445614959781e-08
8.041265877365274539e-01,3.124999999999999653e-02,-2.855755771730283017e-06,-7.331332468843160786e-07,-3.775427943238624006e-08
8.353765877365274539e-01,3.124999999999999653e-02,-2.911143399569700333e-06,-7.301831379537078946e-07,-1.714040404210540863e-08
8.666265877365274539e-01,3.124999999999999653e-02,-2.924139778988444006e-06,-7.156828253857836348e-07,6.650031818888274096e-09
8.978765877365274539e-01,3.124999999999999653e-02,-2.887791365186493389e-06,-6.871225114170161088e-07,3.128671384830505708e-08
9.291265877365274539e-01,3.124999999999999653e-02,-2.767624951449492396e-06,-5.998354352853467260e-07,8.734563984769349480e-08
9.603765877365274539e-01,3.124999999999999653e-02,-2.484141737328451170e-06,-4.347001565814218693e-07,2.120844423801569335e-07
9.916265877365274539e-01,3.124999999999999653e-02,-1.973109843398308380e-06,-2.976562160708740704e-07,2.976562160700853768e-07
1.022876587736527343e+00,3.124999999999999653e-02,-1.212139197788791384e-06,-1.296090253537963885e-07,4.935895927108804118e-07
1.054126587736527343e+00,3.124999999999999653e-02,0.000000000000000000e+00,-3.826042590097255422e-08,6.513448876183255817e-07
8.118988160479112537e-02,4.687499999999999306e-02,0.000000000000000000e+00,-3.190045399285143218e-11,-3.004063507549303507e-09
1.124398816047911254e-01,4.687499999999999306e-02,-1.132337919983838710e-08,-4.440845000535839414e-09,-8.593717193186404015e-09
1.436898816047911254e-01,4.687499999999999306e-02,-3.546505443680619982e-08,-1.248189396508571699e-08,-1.580227800358879333e-08
1.749398816047911254e-01,4.687499999999999306e-02,-7.551084755834297727e-08,-2.446497429264462507e-08,-2.446497429264465154e-08
2.061898816047911254e-01,4.687499999999999306e-02,-1.341809040586022108e-07,-4.070877270168960188e-08,-3.439180310017676150e-08
2.374398816047911254e-01,4.687499999999999306e-02,-2.137809021480292138e-07,-6.140417339906208057e-08,-4.535415029643473603e-08
2.686898816047911254e-01,4.687499999999999306e-02,-3.161305377348821868e-07,-8.664258848871435125e-08,-5.709587569533246361e-08
2.999398816047911254e-01,4.687499999999999306e-02,-4.425075340010158155e-07,-1.163981252516025455e-07,-6.933160980566545902e-08
3.311898816047911254e-01,4.687499999999999306e-02,-5.935934455707370068e-07,-1.505241485993479529e-07,-8.175132379877870680e-08
3.624398816047911254e-01,4.687499999999999306e-02,-7.694291875485925257e-07,-1.887496187960865195e-07,-9.402512068559878584e-08
3.936898816047911254e-01,4.687499999999999306e-02,-9.693793711203894382e-07,-2.306769044969270100e-07,-1.058074303610562381e-07
4.249398816047911254e-01,4.687499999999999306e-02,-1.192106564200520732e-06,-2.757822665038843489e-07,-1.167428976819958555e-07
4.561898816047911254e-01,4.687499999999999306e-02,-1.435558766733627936e-06,-3.234192503210548149e-07,-1.264728918425655618e-07
4.874398816047911254e-01,4.687499999999999306e-02,-1.696963057274092604e-06,-3.728190783644745878e-07,-1.346355640520724311e-07
5.186898816047911254e-01,4.687499999999999306e-02,-1.972827023752488683e-06,-4.230986076132740350e-07,-1.408760145836268449e-07
5.499398816047911254e-01,4.687499999999999306e-02,-2.258968936965389565e-06,-4.732768889115639943e-07,-1.448602542164469444e-07
5.811898816047911254e-01,4.687499999999999306e-02,-2.550556796003082950e-06,-5.222811985191262112e-07,-1.462725210376195242e-07
6.124398816047911254e-01,4.687499999999999306e-02,-2.842144092491597731e-06,-5.689525942310298863e-07,-1.448118474994817376e-07
6.436898816047911254e-01,4.687499999999999306e-02,-3.127713055409427521e-06,-6.120670986931787386e-07,-1.402077349822801490e-07
6.749398816047911254e-01,4.687499999999999306e-02,-3.400710250029844805e-06,-6.503186072040887690e-07,-1.322048787100406336e-07
7.061898816047911254e-01,4.687499999999999306e-02,-3.654054969294491656e-06,-6.822807927012956413e-07,-1.205157303171522356e-07
7.374398816047911254e-01,4.687499999999999306e-02,-3.880162182488683759e-06,-7.065292203477429614e-07,-1.049209222350653660e-07
7.686898816047911254e-01,4.687499999999999306e-02,-4.070891493213959479e-06,-7.216082472096722674e-07,-8.520313744709140499e-08
7.999398816047911254e-01,4.687499999999999306e-02,-4.217713471183127389e-06,-7.261172660992785894e-07,-6.092902754569437985e-08
8.311898816047911254e-01,4.687499999999999306e-02,-4.313118303784301955e-06,-7.203621995916279589e-07,-3.303623190107813890e-08
8.624398816047911254e-01,4.687499999999999306e-02,-4.349190874092437914e-06,-7.018332217307984438e-07,-1.713540906110447226e-09
8.936898816047911254e-01,4.687499999999999306e-02,-4.304971769506299385e-06,-6.510642986047907175e-07,4.653811751905270148e-08
9.249398816047911254e-01,4.687499999999999306e-02,-4.136419540709215661e-06,-5.536188949616921065e-07,1.276237659943833808e-07
9.561898816047911254e-01,4.687499999999999306e-02,-3.792789423446604674e-06,-4.392497075242813809e-07,2.231332939370037755e-07
9.874398816047911254e-01,4.687499999999999306e-02,-3.236898953454600671e-06,-3.279320676057903731e-07,3.279320676044038331e-07
1.018689881604791125e+00,4.687499999999999306e-02,-2.484141737330488284e-06,-2.120844423813696729e-07,4.347001565808177230e-07
1.049939881604791125e+00,4.687499999999999306e-02,-1.387871840960005335e-06,-3.063110778466054707e-08,6.626891726581210164e-07
1.081189881604791125e+00,4.687499999999999306e-02,0.000000000000000000e+00,3.458393002201333797e-09,7.215134109964228133e-07
1.082531754730548385e-01,6.249999999999999306e-02,0.000000000000000000e+00,-3.296832415453097934e-11,-6.809086475172722570e-09
1.395031754730548523e-01,6.249999999999999306e-02,-2.266267550694335072e-08,-6.958709799898369065e-09,-1.620110873295687459e-08
1.707531754730548523e-01,6.249999999999999306e-02,-6.614514411935007293e-08,-1.834655253978414829e-08,-2.758846687760695048e-08
2.020031754730548523e-01,6.249999999999999306e-02,-1.341809040586032696e-07,-3.439180310017837616e-08,-4.070877270169019083e-08
2.332531754730548523e-01,6.249999999999999306e-02,-2.299504513668790193e-07,-5.526830251241793425e-08,-5.526830251241626666e-08
2.645031754730548523e-01,6.249999999999999306e-02,-3.560001125463701265e-07,-8.101465873252318980e-08,-7.092877183580269577e-08
2.957531754730548523e-01,6.249999999999999306e-02,-5.141616244877540837e-07,-1.115502031527023435e-07,-8.731404554244408295e-08
3.270031754730548523e-01,6.249999999999999306e-02,-7.054798112572324620e-07,-1.466653698298693716e-07,-1.040143355430853965e-07
3.582531754730548523e-01,6.249999999999999306e-02,-9.301514266674221376e-07,-1.860203692731023308e-07,-1.205924016423722089e-07
3.895031754730548523e-01,6.249999999999999306e-02,-1.187476146011736209e-06,-2.291438964537707934e-07,-1.365893991988003247e-07
4.207531754730548523e-01,6.249999999999999306e-02,-1.475819769262132502e-06,-2.754343569478747054e-07,-1.515317143139608928e-07
4.520031754730548523e-01,6.249999999999999306e-02,-1.792594035904015036e-06,-3.241648294792527832e-07,-1.649403017811912498e-07
4.832531754730548523e-01,6.249999999999999306e-02,-2.134251332006250790e-06,-3.744873100715501930e-07,-1.763347364687411167e-07
5.145031754730547968e-01,6.249999999999999306e-02,-2.496282922376525013e-06,-4.254365676341768672e-07,-1.852375339594638994e-07
5.457531754730547968e-01,6.249999999999999306e-02,-2.873249170963658091e-06,-4.759517370162039766e-07,-1.911979302409930497e-07
5.770031754730547968e-01,6.249999999999999306e-02,-3.258839558408151470e-06,-5.248895579272601673e-07,-1.937938296180673518e-07
6.082531754730547968e-01,6.249999999999999306e-02,-3.645928498707089488e-06,-5.710340429245414879e-07,-1.926316276684055812e-07
